"X01" "X02" "X03" "X04" "X05" "X06" "X07" "X08" "X09" "X10" "X11" "X12" "X13" "X14" "X15" "X16" "X17" "X18" "X19" "X20"
225 34 0.09 22.18 237 40 0.41 24.99 216 36 0.13 23.59 236 39 0.25 29.38 235 35 0.15 22.46
237 40 0.41 24.99 216 36 0.13 23.59 236 39 0.25 29.38 235 35 0.15 22.46 245 33 0.36 21.11
216 36 0.13 23.59 236 39 0.25 29.38 235 35 0.15 22.46 245 33 0.36 21.11 255 37 0.33 24.8
236 39 0.25 29.38 235 35 0.15 22.46 245 33 0.36 21.11 255 37 0.33 24.8 227 36 0.06 23.33
235 35 0.15 22.46 245 33 0.36 21.11 255 37 0.33 24.8 227 36 0.06 23.33 244 36 0.38 23.82
245 33 0.36 21.11 255 37 0.33 24.8 227 36 0.06 23.33 244 36 0.38 23.82 254 35 0.33 23.47
255 37 0.33 24.8 227 36 0.06 23.33 244 36 0.38 23.82 254 35 0.33 23.47 208 35 0.03 22.48
227 36 0.06 23.33 244 36 0.38 23.82 254 35 0.33 23.47 208 35 0.03 22.48 224 36 0.33 23.39
244 36 0.38 23.82 254 35 0.33 23.47 208 35 0.03 22.48 224 36 0.33 23.39 272 37 0.47 26.71
254 35 0.33 23.47 208 35 0.03 22.48 224 36 0.33 23.39 272 37 0.47 26.71 231 38 0.06 27.34
208 35 0.03 22.48 224 36 0.33 23.39 272 37 0.47 26.71 231 38 0.06 27.34 242 34 0.59 22.27
224 36 0.33 23.39 272 37 0.47 26.71 231 38 0.06 27.34 242 34 0.59 22.27 241 34 0.09 22.26
272 37 0.47 26.71 231 38 0.06 27.34 242 34 0.59 22.27 241 34 0.09 22.26 255 33 0.47 21.29
231 38 0.06 27.34 242 34 0.59 22.27 241 34 0.09 22.26 255 33 0.47 21.29 209 33 0.04 22.57
242 34 0.59 22.27 241 34 0.09 22.26 255 33 0.47 21.29 209 33 0.04 22.57 253 33 0.91 22.25
241 34 0.09 22.26 255 33 0.47 21.29 209 33 0.04 22.57 253 33 0.91 22.25 203 35 0.09 22.29
255 33 0.47 21.29 209 33 0.04 22.57 253 33 0.91 22.25 203 35 0.09 22.29 223 36 0.42 22.46
209 33 0.04 22.57 253 33 0.91 22.25 203 35 0.09 22.29 223 36 0.42 22.46 227 34 0.19 23.52
253 33 0.91 22.25 203 35 0.09 22.29 223 36 0.42 22.46 227 34 0.19 23.52 243 41 0.4 26.47
203 35 0.09 22.29 223 36 0.42 22.46 227 34 0.19 23.52 243 41 0.4 26.47 254 35 0.45 23.21
223 36 0.42 22.46 227 34 0.19 23.52 243 41 0.4 26.47 254 35 0.45 23.21 252 39 0.07 27.15
227 34 0.19 23.52 243 41 0.4 26.47 254 35 0.45 23.21 252 39 0.07 27.15 224 36 0.03 24.02
243 41 0.4 26.47 254 35 0.45 23.21 252 39 0.07 27.15 224 36 0.03 24.02 240 33 0.11 21.59
254 35 0.45 23.21 252 39 0.07 27.15 224 36 0.03 24.02 240 33 0.11 21.59 249 36 0.38 24.61
252 39 0.07 27.15 224 36 0.03 24.02 240 33 0.11 21.59 249 36 0.38 24.61 237 34 0.11 22.82
224 36 0.03 24.02 240 33 0.11 21.59 249 36 0.38 24.61 237 34 0.11 22.82 236 33 0.11 22.18
240 33 0.11 21.59 249 36 0.38 24.61 237 34 0.11 22.82 236 33 0.11 22.18 249 36 0.24 25.25
249 36 0.38 24.61 237 34 0.11 22.82 236 33 0.11 22.18 249 36 0.24 25.25 228 37 0.1 25.31
237 34 0.11 22.82 236 33 0.11 22.18 249 36 0.24 25.25 228 37 0.1 25.31 273 37 0.47 26.96
236 33 0.11 22.18 249 36 0.24 25.25 228 37 0.1 25.31 273 37 0.47 26.96 231 36 0.03 25.45
249 36 0.24 25.25 228 37 0.1 25.31 273 37 0.47 26.96 231 36 0.03 25.45 245 33 0.4 21.56
228 37 0.1 25.31 273 37 0.47 26.96 231 36 0.03 25.45 245 33 0.4 21.56 233 37 0.05 25.31
273 37 0.47 26.96 231 36 0.03 25.45 245 33 0.4 21.56 233 37 0.05 25.31 279 35 0.78 25.24
231 36 0.03 25.45 245 33 0.4 21.56 233 37 0.05 25.31 279 35 0.78 25.24 242 38 0.09 26.46
245 33 0.4 21.56 233 37 0.05 25.31 279 35 0.78 25.24 242 38 0.09 26.46 225 36 0.04 25.09
233 37 0.05 25.31 279 35 0.78 25.24 242 38 0.09 26.46 225 36 0.04 25.09 254 36 0.19 26.2
279 35 0.78 25.24 242 38 0.09 26.46 225 36 0.04 25.09 254 36 0.19 26.2 266 34 0.68 23.56
242 38 0.09 26.46 225 36 0.04 25.09 254 36 0.19 26.2 266 34 0.68 23.56 275 34 0.59 23.24
225 36 0.04 25.09 254 36 0.19 26.2 266 34 0.68 23.56 275 34 0.59 23.24 295 36 0.82 27.31
254 36 0.19 26.2 266 34 0.68 23.56 275 34 0.59 23.24 295 36 0.82 27.31 240 31 0.08 20.98
266 34 0.68 23.56 275 34 0.59 23.24 295 36 0.82 27.31 240 31 0.08 20.98 282 31 1.47 21.26
275 34 0.59 23.24 295 36 0.82 27.31 240 31 0.08 20.98 282 31 1.47 21.26 258 33 0.29 22.58
295 36 0.82 27.31 240 31 0.08 20.98 282 31 1.47 21.26 258 33 0.29 22.58 241 36 0.07 26.43
240 31 0.08 20.98 282 31 1.47 21.26 258 33 0.29 22.58 241 36 0.07 26.43 251 36 0.44 29.52
282 31 1.47 21.26 258 33 0.29 22.58 241 36 0.07 26.43 251 36 0.44 29.52 261 33 0.37 22.66
258 33 0.29 22.58 241 36 0.07 26.43 251 36 0.44 29.52 261 33 0.37 22.66 237 41 0.29 27.1
241 36 0.07 26.43 251 36 0.44 29.52 261 33 0.37 22.66 237 41 0.29 27.1 224 45 0.26 26.39
251 36 0.44 29.52 261 33 0.37 22.66 237 41 0.29 27.1 224 45 0.26 26.39 237 35 0.55 20.23
261 33 0.37 22.66 237 41 0.29 27.1 224 45 0.26 26.39 237 35 0.55 20.23 259 35 1.34 21.5
237 41 0.29 27.1 224 45 0.26 26.39 237 35 0.55 20.23 259 35 1.34 21.5 222 34 0.19 20.17
224 45 0.26 26.39 237 35 0.55 20.23 259 35 1.34 21.5 222 34 0.19 20.17 244 32 0.81 19.86
237 35 0.55 20.23 259 35 1.34 21.5 222 34 0.19 20.17 244 32 0.81 19.86 206 33 0.09 20.77
259 35 1.34 21.5 222 34 0.19 20.17 244 32 0.81 19.86 206 33 0.09 20.77 201 33 0.08 21.04
222 34 0.19 20.17 244 32 0.81 19.86 206 33 0.09 20.77 201 33 0.08 21.04 249 37 0.64 23.94
244 32 0.81 19.86 206 33 0.09 20.77 201 33 0.08 21.04 249 37 0.64 23.94 235 37 0.19 26
206 33 0.09 20.77 201 33 0.08 21.04 249 37 0.64 23.94 235 37 0.19 26 221 35 0.04 23.9
201 33 0.08 21.04 249 37 0.64 23.94 235 37 0.19 26 221 35 0.04 23.9 270 34 1.02 21.68
249 37 0.64 23.94 235 37 0.19 26 221 35 0.04 23.9 270 34 1.02 21.68 279 38 0.79 25.81
235 37 0.19 26 221 35 0.04 23.9 270 34 1.02 21.68 279 38 0.79 25.81 255 40 0.24 25.64
221 35 0.04 23.9 270 34 1.02 21.68 279 38 0.79 25.81 255 40 0.24 25.64 265 35 0.68 21.54
270 34 1.02 21.68 279 38 0.79 25.81 255 40 0.24 25.64 265 35 0.68 21.54 245 33 0.21 20.06
279 38 0.79 25.81 255 40 0.24 25.64 265 35 0.68 21.54 245 33 0.21 20.06 222 34 0.38 21.29
255 40 0.24 25.64 265 35 0.68 21.54 245 33 0.21 20.06 222 34 0.38 21.29 243 34 0.92 21.27
265 35 0.68 21.54 245 33 0.21 20.06 222 34 0.38 21.29 243 34 0.92 21.27 217 34 0.1 21.33
245 33 0.21 20.06 222 34 0.38 21.29 243 34 0.92 21.27 217 34 0.1 21.33 209 32 0.26 21.09
222 34 0.38 21.29 243 34 0.92 21.27 217 34 0.1 21.33 209 32 0.26 21.09 257 34 1.08 21.89
243 34 0.92 21.27 217 34 0.1 21.33 209 32 0.26 21.09 257 34 1.08 21.89 236 38 0.29 28.34
217 34 0.1 21.33 209 32 0.26 21.09 257 34 1.08 21.89 236 38 0.29 28.34 207 35 0.19 23.27
209 32 0.26 21.09 257 34 1.08 21.89 236 38 0.29 28.34 207 35 0.19 23.27 235 36 0.6 26.44
