time_index,Nb process http,Cpu http,Cpu global
2020-08-28 07:38:00,254.0,0.14,7.61
2020-08-28 07:39:00,234.0,0.03,8.11
2020-08-28 07:40:00,235.0,0.14,10.62
2020-08-28 07:41:00,244.0,0.63,9.63
2020-08-28 07:42:00,254.0,0.04,9.06
2020-08-28 07:43:00,257.0,0.01,9.13
2020-08-28 07:44:00,226.0,0.08,10.06
2020-08-28 07:45:00,260.0,0.01,12.24
2020-08-28 07:46:00,258.0,0.03,10.68
2020-08-28 07:47:00,242.0,0.06,8.39
2020-08-28 07:48:00,236.0,0.36,9.42
2020-08-28 07:49:00,251.0,0.18,9.26
2020-08-28 07:50:00,248.0,0.04,9.24
2020-08-28 07:51:00,232.0,0.25,9.74
2020-08-28 07:52:00,242.0,0.07,8.95
2020-08-28 07:53:00,258.0,0.16,11.15
2020-08-28 07:54:00,248.0,0.08,9.89
2020-08-28 07:55:00,260.0,0.08,11.14
2020-08-28 07:56:00,255.0,0.49,9.94
2020-08-28 07:57:00,268.0,0.02,7.17
2020-08-28 07:58:00,240.0,0.26,9.4
2020-08-28 07:59:00,263.0,0.04,10.31
2020-08-28 08:00:00,251.0,0.09,10.87
2020-08-28 08:01:00,257.0,0.05,9.1
2020-08-28 08:02:00,238.0,0.22,9.03
2020-08-28 08:03:00,250.0,0.07,12.19
2020-08-28 08:04:00,261.0,0.07,9.45
2020-08-28 08:05:00,250.0,0.06,9.15
2020-08-28 08:06:00,241.0,0.11,8.47
2020-08-28 08:07:00,260.0,0.07,7.88
2020-08-28 08:08:00,249.0,0.07,8.72
2020-08-28 08:09:00,260.0,0.04,8.4
2020-08-28 08:10:00,260.0,0.09,9.34
2020-08-28 08:11:00,257.0,0.09,9.25
2020-08-28 08:12:00,245.0,0.13,8.38
2020-08-28 08:13:00,263.0,0.2,8.67
2020-08-28 08:14:00,270.0,0.03,9.32
2020-08-28 08:15:00,244.0,0.16,7.69
2020-08-28 08:16:00,265.0,0.01,11.87
2020-08-28 08:17:00,259.0,0.97,8.67
2020-08-28 08:18:00,251.0,0.03,8.87
2020-08-28 08:19:00,256.0,0.28,8.53
