,Net In Global,Nb process http,Nb process php,Nb connection mysql,Cpu http,Cpu php,Cpu global
2020-09-11 19:26:00,0.08,177.0,32.0,60.0,0.19,17.76,4.26
2020-09-11 19:27:00,0.07,183.0,37.0,50.0,0.25,20.84,5.23
2020-09-11 19:28:00,0.08,203.0,33.0,47.0,0.59,17.69,4.65
2020-09-11 19:29:00,0.1,175.0,35.0,55.0,0.1,19.34,5.39
2020-09-11 19:30:00,0.09,190.0,33.0,49.0,0.44,18.06,5.11
2020-09-11 19:31:00,0.08,170.0,35.0,51.0,0.19,19.23,5.96
2020-09-11 19:32:00,0.09,192.0,33.0,52.0,0.57,17.67,5.33
2020-09-11 19:33:00,0.06,193.0,34.0,55.0,0.12,18.78,4.99
2020-09-11 19:34:00,0.07,186.0,34.0,40.0,0.74,18.48,4.45
2020-09-11 19:35:00,0.11,196.0,33.0,49.0,0.38,17.29,4.3
2020-09-11 19:36:00,0.07,212.0,34.0,48.0,0.76,18.38,4.43
2020-09-11 19:37:00,0.06,221.0,34.0,50.0,0.69,18.53,5.29
2020-09-11 19:38:00,0.07,203.0,36.0,54.0,0.17,19.24,5.06
2020-09-11 19:39:00,0.1,214.0,35.0,53.0,0.51,19.66,6.0
2020-09-11 19:40:00,0.1,192.0,38.0,51.0,0.07,19.71,6.4
2020-09-11 19:41:00,0.09,203.0,33.0,69.0,0.69,17.94,5.81
2020-09-11 19:42:00,0.08,217.0,35.0,42.0,0.88,18.77,6.03
2020-09-11 19:43:00,0.07,210.0,35.0,49.0,0.34,19.19,7.01
2020-09-11 19:44:00,0.07,220.0,36.0,51.0,0.58,20.31,6.63
2020-09-11 19:45:00,0.07,199.0,34.0,53.0,0.09,19.3,5.61
2020-09-11 19:46:00,0.07,213.0,38.0,48.0,0.58,21.77,6.01
2020-09-11 19:47:00,0.08,223.0,37.0,49.0,0.32,21.61,6.67
2020-09-11 19:48:00,0.07,217.0,35.0,48.0,0.21,19.91,5.2
2020-09-11 19:49:00,0.1,210.0,32.0,46.0,0.09,18.39,5.54
2020-09-11 19:50:00,0.1,225.0,36.0,51.0,0.66,20.46,4.89
2020-09-11 19:51:00,0.08,192.0,34.0,53.0,0.06,19.06,4.48
2020-09-11 19:52:00,0.07,209.0,37.0,40.0,0.34,22.03,5.0
2020-09-11 19:53:00,0.07,227.0,32.0,47.0,1.02,20.25,5.01
2020-09-11 19:54:00,0.07,189.0,32.0,52.0,0.12,17.61,4.6
2020-09-11 19:55:00,0.07,178.0,31.0,46.0,0.22,16.82,4.25
2020-09-11 19:56:00,0.07,198.0,31.0,48.0,0.31,16.81,3.94
2020-09-11 19:57:00,0.07,214.0,33.0,56.0,0.53,17.93,4.79
2020-09-11 19:58:00,0.07,204.0,33.0,43.0,0.53,18.21,4.6
2020-09-11 19:59:00,0.1,222.0,34.0,53.0,0.59,18.02,4.66
2020-09-11 20:00:00,0.09,209.0,33.0,50.0,0.14,17.51,4.29
2020-09-11 20:01:00,0.08,194.0,32.0,45.0,0.23,17.01,4.23
2020-09-11 20:02:00,0.08,216.0,32.0,50.0,0.73,16.96,3.55
2020-09-11 20:03:00,0.07,191.0,33.0,49.0,0.14,17.4,6.74
2020-09-11 20:04:00,0.07,240.0,34.0,43.0,1.66,18.09,7.66
2020-09-11 20:05:00,0.07,193.0,34.0,59.0,0.23,18.01,4.78
2020-09-11 20:06:00,0.08,236.0,32.0,54.0,1.14,17.11,7.0
2020-09-11 20:07:00,0.07,215.0,34.0,52.0,0.26,18.68,7.3
2020-09-11 20:08:00,0.08,229.0,36.0,54.0,0.49,18.68,7.58
2020-09-11 20:09:00,0.1,238.0,33.0,58.0,0.7,17.9,9.72
2020-09-11 20:10:00,0.1,216.0,38.0,47.0,0.21,22.39,7.34
2020-09-11 20:11:00,0.1,225.0,35.0,48.0,0.21,19.39,8.7
2020-09-11 20:12:00,0.08,217.0,37.0,56.0,0.16,21.46,8.72
2020-09-11 20:13:00,0.08,230.0,39.0,57.0,0.37,21.29,9.04
2020-09-11 20:14:00,0.08,221.0,33.0,52.0,0.17,17.33,8.77
