,Nb process http,Cpu global,Nb connection mysql
2020-07-31 02:34:00,149.0,3.72,72.0
2020-07-31 02:35:00,171.0,3.86,74.0
2020-07-31 02:36:00,181.0,3.75,69.0
2020-07-31 02:37:00,161.0,3.79,88.0
2020-07-31 02:38:00,144.0,3.78,79.0
2020-07-31 02:39:00,167.0,3.47,82.0
2020-07-31 02:40:00,146.0,3.64,80.0
2020-07-31 02:41:00,203.0,3.42,76.0
2020-07-31 02:42:00,156.0,3.67,74.0
2020-07-31 02:43:00,178.0,4.22,78.0
2020-07-31 02:44:00,187.0,3.96,84.0
2020-07-31 02:45:00,197.0,3.41,71.0
2020-07-31 02:46:00,205.0,3.2,75.0
2020-07-31 02:47:00,215.0,4.3,72.0
2020-07-31 02:48:00,190.0,3.64,82.0
2020-07-31 02:49:00,199.0,4.78,67.0
2020-07-31 02:50:00,177.0,5.02,81.0
2020-07-31 02:51:00,186.0,4.6,83.0
2020-07-31 02:52:00,196.0,6.13,73.0
2020-07-31 02:53:00,172.0,5.11,70.0
2020-07-31 02:54:00,155.0,4.45,79.0
2020-07-31 02:55:00,177.0,4.26,75.0
2020-07-31 02:56:00,162.0,6.74,75.0
2020-07-31 02:57:00,176.0,6.26,75.0
2020-07-31 02:58:00,190.0,4.59,76.0
2020-07-31 02:59:00,168.0,4.43,72.0
2020-07-31 03:00:00,182.0,5.17,72.0
2020-07-31 03:01:00,170.0,4.81,79.0
2020-07-31 03:02:00,186.0,3.98,78.0
2020-07-31 03:03:00,194.0,6.79,73.0
2020-07-31 03:04:00,171.0,7.26,76.0
2020-07-31 03:05:00,183.0,7.9,72.0
2020-07-31 03:06:00,166.0,7.48,73.0
2020-07-31 03:07:00,148.0,7.54,79.0
2020-07-31 03:08:00,170.0,6.55,88.0
2020-07-31 03:09:00,181.0,4.79,71.0
2020-07-31 03:10:00,160.0,6.57,70.0
2020-07-31 03:11:00,177.0,6.56,80.0
2020-07-31 03:12:00,165.0,6.92,69.0
2020-07-31 03:13:00,179.0,7.1,79.0
2020-07-31 03:14:00,150.0,6.49,68.0
2020-07-31 03:15:00,188.0,6.61,71.0
2020-07-31 03:16:00,200.0,8.14,71.0
2020-07-31 03:17:00,208.0,7.78,79.0
2020-07-31 03:18:00,162.0,8.59,71.0
2020-07-31 03:19:00,189.0,6.08,80.0
2020-07-31 03:20:00,151.0,7.36,67.0
2020-07-31 03:21:00,192.0,5.76,71.0
2020-07-31 03:22:00,154.0,6.0,76.0
2020-07-31 03:23:00,155.0,5.57,70.0
2020-07-31 03:24:00,172.0,5.37,70.0
2020-07-31 03:25:00,160.0,6.01,76.0
2020-07-31 03:26:00,178.0,5.1,67.0
2020-07-31 03:27:00,161.0,5.37,76.0
2020-07-31 03:28:00,148.0,6.41,69.0
2020-07-31 03:29:00,178.0,5.91,75.0
2020-07-31 03:30:00,156.0,5.48,75.0
2020-07-31 03:31:00,137.0,4.98,76.0
2020-07-31 03:32:00,135.0,4.74,74.0
2020-07-31 03:33:00,129.0,5.02,89.0
2020-07-31 03:34:00,135.0,6.22,75.0
